MINE,VEIN,YEAR,index,TONNES,METAL,EQ,ZN,PB,CU,AG,FE,PV,ORDER,RE,RE_OLD,CUTOFF,MINED_A,BUFFER,TYPE,PHASE,CAT1,CAT2,CAT3,CAT4,Tonnes_Waterfall1,Tonnes_Waterfall2,Tonnes_Waterfall3,Tonnes_Waterfall4
Animon,vofe,21_22,1.0,53065.28069543749,734871.6855735461,13.848446214602419,10.07401857740595,1.0511037778409882,0.1669502928940031,3.5403811742884357,4.525633917840849,1.3081772186793694,2,1,1,0,in_situ,100,DRE,After Drilling,1,,,,-468286.00922360964,,,
Animon,vofe,21_22,1.0,521351.28991904715,8652143.770595849,16.59561209091726,10.920070820720436,1.3541711526400335,0.21282110986479966,4.3213701175567705,0.0,0.0,2,1,1,0,all,9999,DRE,Before Drilling,1,,,,,,,
Animon,vofe,21_22,1.0,527134.9405906597,8759925.07754236,16.617993616068745,10.968927080375877,1.3547538737488265,0.21259384255576,4.29431266194401,0.0,0.0,2,1,1,0,all,9999,RE,Before Drilling,1,,,,527134.9405906597,,,
Animon,vofe,21_22,1.0,55046.94019837594,798770.3092760526,14.51071224662945,9.644273914766755,1.0540807275981694,0.1751278545743456,3.812357604264516,0.0,0.0,2,1,1,0,in_situ,9999,DRE,Before Drilling,1,,,,,,,
Animon,vofe,21_22,1.0,57076.70539660963,838101.0736762704,14.683767534452924,9.863014952703146,1.0645290938356595,0.17594515671299557,3.7562234879141148,0.0,0.0,2,1,1,0,in_situ,9999,RE,Before Drilling,1,,,,57076.70539660963,,,
Animon,vofe,21_22,1.0,521351.28991904715,8652143.770595849,16.59561209091726,10.920070820720436,1.3541711526400335,0.21282110986479966,4.3213701175567705,0.0,0.0,2,1,1,0,all,100,DRE,Before Drilling,1,,,,,,,
Animon,vofe,21_22,1.0,527134.9405906597,8759925.07754236,16.617993616068745,10.968927080375877,1.3547538737488265,0.21259384255576,4.29431266194401,0.0,0.0,2,1,1,0,all,100,RE,Before Drilling,1,,,,527134.9405906597,,,
Animon,vofe,21_22,1.0,55046.94019837594,798770.3092760526,14.51071224662945,9.644273914766755,1.0540807275981694,0.1751278545743456,3.812357604264516,0.0,0.0,2,1,1,0,in_situ,100,DRE,Before Drilling,1,,,,,,,
Animon,vofe,21_22,1.0,57076.70539660963,838101.0736762704,14.683767534452924,9.863014952703146,1.0645290938356595,0.17594515671299557,3.7562234879141148,0.0,0.0,2,1,1,0,in_situ,100,RE,Before Drilling,1,,,,57076.70539660963,,,
Animon,vofe,21_22,5.0,506016.1789240628,8011878.524398706,15.833245769797882,11.092653373496754,1.359870165139257,0.21780447357426735,4.39989004714827,4.719901047859686,1.8226786519290261,2,1,1,0,all,9999,DDDRE,After Drilling,1,,,,506016.1789240628,,,
